iter	Passed	Remaining
0	134	134389
1	135	67566
2	136	45330
3	137	34219
4	138	27534
5	139	23039
6	139	19793
7	140	17401
8	141	15575
9	142	14111
10	143	12861
11	143	11828
12	144	10953
13	144	10203
14	145	9543
15	146	8981
16	146	8471
17	146	8019
18	147	7611
19	147	7244
20	148	6914
21	148	6613
22	149	6345
23	149	6091
24	150	5857
25	150	5643
26	151	5444
27	151	5260
28	151	5087
29	152	4927
30	152	4776
31	153	4635
32	153	4502
33	154	4378
34	154	4261
35	154	4150
36	155	4044
37	155	3945
38	156	3850
39	156	3761
40	157	3676
41	157	3595
42	158	3518
43	158	3446
44	159	3379
45	159	3313
46	160	3250
47	161	3193
48	161	3135
49	162	3080
50	162	3026
51	163	2973
52	163	2922
53	164	2873
54	164	2825
55	164	2779
56	165	2735
57	165	2693
58	166	2657
59	167	2620
60	167	2581
61	168	2544
62	168	2507
63	169	2472
64	169	2438
65	170	2405
66	170	2373
67	170	2342
68	171	2312
69	171	2282
70	172	2254
71	172	2225
72	173	2201
73	174	2179
74	174	2156
75	175	2132
76	175	2108
77	176	2084
78	176	2060
79	177	2037
80	177	2015
81	178	1993
82	178	1969
83	178	1948
84	179	1928
85	179	1909
86	180	1890
87	180	1871
88	181	1854
89	181	1837
90	182	1819
91	182	1802
92	183	1785
93	183	1768
94	183	1752
95	184	1736
96	184	1720
97	185	1704
98	185	1689
99	186	1675
100	186	1661
101	187	1646
102	187	1633
103	188	1619
104	188	1606
105	189	1595
106	189	1584
107	190	1572
108	190	1561
109	191	1549
110	192	1538
111	192	1527
112	193	1515
113	193	1504
114	194	1493
115	194	1482
116	195	1471
117	195	1461
118	196	1451
119	196	1441
120	197	1432
121	197	1422
122	198	1413
123	198	1403
124	199	1395
125	199	1386
126	200	1377
127	200	1368
128	201	1359
129	201	1350
130	202	1342
131	203	1335
132	203	1327
133	204	1319
134	204	1311
135	205	1304
136	206	1298
137	206	1291
138	207	1283
139	207	1276
140	208	1268
141	208	1259
142	209	1252
143	209	1245
144	209	1238
145	210	1231
146	210	1223
147	211	1217
148	212	1211
149	212	1205
150	213	1199
151	213	1192
152	214	1186
153	215	1181
154	215	1176
155	216	1170
156	216	1163
